tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
Abd,30.69,30.73,0.04,2446,2377,64.4,3.388456453,1,5,7,30C,e7,1
LW,33.36,33.64,0.25,456,386,61.4,2.658964843,1,5,7,30C,e7,1
Sal,0,0,0,0,0,0,0,0,5,7,30C,e7,1
Abd,29.32,29.69,0.34,5768,4648,1023,3.761025252,1,6,7,30C,e7,1
LW,30.52,30.61,0.1,2722,2569,163,3.434888121,1,6,7,30C,e7,1
Sal,0,40.02,1.28,0,8.08,5.87,0,0,6,7,30C,e7,1
Abd,30.86,31.15,0.25,2185,1839,304,3.339451441,1,7,7,30C,e7,1
LW,30.86,31.08,0.26,2186,1930,302,3.339650158,1,7,7,30C,e7,1
Sal,0,0,0,0,0,0,0,0,7,7,30C,e7,1
Abd,30.76,31.04,0.25,2332,1978,319,3.367728546,1,8,7,30C,e7,1
LW,31.53,31.67,0.12,1435,1322,99.3,3.156851901,1,8,7,30C,e7,1
Sal,0,38.76,1.44,0,18.6,14.8,0,0,8,7,30C,e7,1
Abd,32.41,32.8,0.34,1232,980,220,3.090610708,1,9,7,30C,e7,2
LW,30.73,30.88,0.13,3567,3259,271,3.552303109,1,9,7,30C,e7,2
Sal,0,38.86,0.7,0,21.7,9.32,0,0,9,7,30C,e7,2
Abd,30.86,30.96,0.16,3299,3098,308,3.518382316,1,10,7,30C,e7,2
LW,33.27,33.61,0.29,714,583,113,2.853698212,1,10,7,30C,e7,2
Sal,0,0,0,0,0,0,0,0,10,7,30C,e7,2
Abd,32.31,32.37,0.06,1316,1263,49.8,3.119255889,1,11,7,30C,e7,2
LW,28.52,28.6,0.08,14527,13757,677,4.162175937,1,11,7,30C,e7,2
Sal,36.7,37.43,0.95,81.4,57.1,28.4,1.910624405,0,11,7,30C,e7,2
Abd,33.45,33.56,0.18,637,599,67.3,2.804139432,1,12,7,30C,e7,2
LW,30.05,30.19,0.19,5501,5066,587,3.740441645,1,12,7,30C,e7,2
Sal,37.72,38.81,0.96,42.5,24.3,15.9,1.62838893,0,12,7,30C,e7,2
Abd,33.45,34.85,1.38,639,335,272,2.805500858,1,13,7,30C,e7,2
LW,34.85,36.43,2.12,262,149,121,2.418301291,1,13,7,30C,e7,2
Sal,0,39.34,0.02,0,15.2,0.185,0,0,13,7,30C,e7,2
Abd,36.61,37.15,0.49,86.2,63,20.4,1.935507266,0,14,7,30C,e7,2
LW,36.05,36.9,0.74,123,77.5,39.4,2.089905111,1,14,7,30C,e7,2
Sal,0,0,0,0,0,0,0,0,14,7,30C,e7,2
Abd,37.63,38.53,0.94,45,28.5,15.7,1.653212514,0,15,7,30C,e7,2
LW,36.74,37.27,0.46,79.3,58.3,18.2,1.899273187,0,15,7,30C,e7,2
Sal,0,0,0,0,0,0,0,0,15,7,30C,e7,2
Abd,0,39.04,0.64,0,19.2,7.59,0,0,16,7,30C,e7,2
LW,34.43,34.88,0.39,343,263,69.1,2.53529412,1,16,7,30C,e7,2
Sal,36.92,37.12,0.19,70.5,62.8,7.71,1.848189117,0,16,7,30C,e7,2
Abd,27.71,27.76,0.05,14509,14030,473,4.161637481,1,17,7,30C,e7,3
LW,0,38.71,0.38,0,11.8,2.83,0,0,17,7,30C,e7,3
Sal,0,0,0,0,0,0,0,0,17,7,30C,e7,3
Abd,27.78,27.94,0.18,13871,12500,1438,4.142107772,1,18,7,30C,e7,3
LW,0,38.86,0.77,0,11.2,5.33,0,0,18,7,30C,e7,3
Sal,0,39.62,0.36,0,6.51,1.51,0,0,18,7,30C,e7,3
Abd,26.92,27.17,0.22,24191,20672,3048,4.383653821,1,19,7,30C,e7,3
LW,35.52,36.83,1.15,91.7,47.9,38.1,1.962369336,1,19,7,30C,e7,3
Sal,0,0,0,0,0,0,0,0,19,7,30C,e7,3
Abd,26.94,27.26,0.27,23870,19660,3649,4.377852419,1,20,7,30C,e7,3
LW,36.88,37.5,0.68,38,27C,11,1.579783597,0,20,7,30C,e7,3
Sal,0,0,0,0,0,0,0,0,20,7,30C,e7,3
Abd,33.54,33.57,0.05,318,310,10.1,2.50242712,1,1,7,33C,e7,1
LW,36.05,37.4,1.18,61.7,31.6,26.1,1.790285164,1,1,7,33C,e7,1
Sal,0,0,0,0,0,0,0,0,1,7,33C,e7,1
