well,tissue,cq,cq_mean,cq_stdev,sq,sq_mean,sq_stdev,logSQ,day,temp,titer,positive,organism_num,plate,name
C4,LW,0,0,0,0,0,0,0,3,30C,0,0,19,3,30C3LW19
D4,LW,0,0,0,0,0,0,0,3,30C,0,0,20,3,30C3LW20
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,1,1,30C3Sal1
C7,Sal,34.34,0,0,163,0,0,2.212187604,3,30C,0,0,3,1,30C3Sal3
D7,Sal,38.85,0,0,8.78,0,0,0.943494516,3,30C,0,0,4,1,30C3Sal4
E7,Sal,0,37.63,0.05,0,19.4,0.606,0,3,30C,0,0,5,1,30C3Sal5
F7,Sal,0,38.52,0.9,0,11.8,6.49,0,3,30C,0,0,6,1,30C3Sal6
G7,Sal,0,0,0,0,0,0,0,3,30C,0,0,7,1,30C3Sal7
H7,Sal,38.89,38.85,0.22,8.57,8.84,1.31,0.932980822,3,30C,0,0,8,1,30C3Sal8
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,9,2,30C3Sal9
B7,Sal,38.74,0,0,12.7,0,0,1.103803721,3,30C,0,0,10,2,30C3Sal10
C7,Sal,0,0,0,0,0,0,0,3,30C,0,0,11,2,30C3Sal11
D7,Sal,0,0,0,0,0,0,0,3,30C,0,0,12,2,30C3Sal12
F7,Sal,0,0,0,0,0,0,0,3,30C,0,0,14,2,30C3Sal14
G7,Sal,0,0,0,0,0,0,0,3,30C,0,0,15,2,30C3Sal15
H4,Sal,0,0,0,0,0,0,0,3,30C,0,0,16,2,30C3Sal16
A7,Sal,0,0,0,0,0,0,0,3,30C,0,0,17,3,30C3Sal17
B7,Sal,0,0,0,0,0,0,0,3,30C,0,0,18,3,30C3Sal18
C7,Sal,0,0,0,0,0,0,0,3,30C,0,0,19,3,30C3Sal19
D7,Sal,0,0,0,0,0,0,0,3,30C,0,0,20,3,30C3Sal20
A10,Abd,37.93,37.83,0.32,36.5,39.4,8.23,1.562292864,3,33C,0,0,1,1,33C3Abd1
B10,Abd,38.64,38.97,0.46,23.4,19.5,5.54,1.369215857,3,33C,0,0,2,1,33C3Abd2
C10,Abd,37.73,37.76,0.04,41.3,40.6,1.08,1.615950052,3,33C,0,0,3,1,33C3Abd3
D10,Abd,39.39,38.27,1.59,14.6,37.2,32,1.164352856,3,33C,0,0,4,1,33C3Abd4
E10,Abd,37.07,38.06,1.39,62.6,40.4,31.4,1.796574333,3,33C,0,0,5,1,33C3Abd5
F10,Abd,38.54,38.11,0.6,25,33.8,12.5,1.397940009,3,33C,0,0,6,1,33C3Abd6
G10,Abd,0,38.73,0.12,0,22.2,1.64,0,3,33C,0,0,7,1,33C3Abd7
H10,Abd,38.8,40.16,2.53,21.1,15.6,12.3,1.324282455,3,33C,0,0,8,1,33C3Abd8
D10,Abd,38.54,38.08,1.52,3.05,6.54,7.23,0.484299839,3,33C,0,0,12,2,33C3Abd12
E10,Abd,38.6,37.95,0.57,2.91,4.95,1.81,0.463892989,3,33C,0,0,13,2,33C3Abd13
G10,Abd,37.18,37.4,0.87,8.28,7.9,4.26,0.918030337,3,33C,0,0,15,2,33C3Abd15
H10,Abd,37.4,37.54,0.12,7.01,6.37,0.554,0.845718018,3,33C,0,0,16,2,33C3Abd16
A4,LW,43.99,0,0,0.819,0,0,-0.086716098,3,33C,0,0,1,1,33C3LW1
B4,LW,0,0,0,0,0,0,0,3,33C,0,0,2,1,33C3LW2
C4,LW,0,0,0,0,0,0,0,3,33C,0,0,3,1,33C3LW3
D4,LW,0,39.13,0.39,0,17.5,4.18,0,3,33C,0,0,4,1,33C3LW4
E4,LW,0,0,0,0,0,0,0,3,33C,0,0,5,1,33C3LW5
F4,LW,0,38.84,0.15,0,20.7,1.95,0,3,33C,0,0,6,1,33C3LW6
G4,LW,0,0,0,0,0,0,0,3,33C,0,0,7,1,33C3LW7
H4,LW,0,0,0,0,0,0,0,3,33C,0,0,8,1,33C3LW8
B4,LW,38.2,38.31,1.02,3.91,4.28,2.84,0.592176757,3,33C,0,0,10,2,33C3LW10
C4,LW,38.38,38.72,0.75,3.43,2.91,1.31,0.53529412,3,33C,0,0,11,2,33C3LW11
D4,LW,0,40.73,1.55,0,0.82,0.771,0,3,33C,0,0,12,2,33C3LW12
E4,LW,39.59,38.88,1.01,1.41,2.71,1.85,0.149219113,3,33C,0,0,13,2,33C3LW13
F4,LW,39.13,39.37,0.34,1.98,1.68,0.416,0.29666519,3,33C,0,0,14,2,33C3LW14
G4,LW,0,0,0,0,0,0,0,3,33C,0,0,15,2,33C3LW15
H7,LW,36.77,37.54,1,11.2,7.39,4.26,1.049218023,3,33C,0,0,16,2,33C3LW16
A7,Sal,0,0,0,0,0,0,0,3,33C,0,0,1,1,33C3Sal1
B7,Sal,0,0,0,0,0,0,0,3,33C,0,0,2,1,33C3Sal2
C7,Sal,0,0,0,0,0,0,0,3,33C,0,0,3,1,33C3Sal3
D7,Sal,0,0,0,0,0,0,0,3,33C,0,0,4,1,33C3Sal4
E7,Sal,0,0,0,0,0,0,0,3,33C,0,0,5,1,33C3Sal5
F7,Sal,38.82,0,0,20.9,0,0,1.320146286,3,33C,0,0,6,1,33C3Sal6
