tissue,cq,cq_mean,cq_std,sq,sq_std,logSQ,sqmean,day,temp,titer,positive,organism_num,plate
Abd,36.0991793,36.25679468,0.215754343,133.2687345,14.83579376,2.124728274,122.2011476,7,30C,e7,0,18,3
LW,35.14163905,36.16121648,1.050424642,232.8435812,82.77608055,2.36706427,144.814019,7,30C,e7,0,18,3
Sal,36.70658569,36.25588993,0.637380054,93.5415973,45.70084048,1.971004782,83.90464767,7,30C,e7,0,18,3
Abd,35.57441977,35.79899626,0.275456393,180.9403192,24.76367696,2.257535352,160.0810563,7,30C,e7,0,19,3
LW,36.86308231,36.61887987,1.050759331,85.38829381,71.10914934,1.931398336,111.9946004,7,30C,e7,0,19,3
Sal,0,0,0,0,0,0,0,7,30C,e7,0,19,3
Abd,36.06839487,36.24089617,0.807649101,135.6810679,56.03536693,2.132519253,131.4911252,7,30C,e7,0,20,3
LW,35.25771965,35.92096556,0.843416781,217.6137752,67.64505338,2.337686383,159.1048267,7,30C,e7,0,20,3
Sal,37.05086308,36.77488426,0.434948264,76.53753036,24.68728603,1.883874445,91.91999678,7,30C,e7,0,20,3
Abd,0,0,0,0,0,0,0,14,30C,e7,0,1,3
LW,0,0,0,0,0,0,0,14,30C,e7,0,1,3
Sal,0,0,0,0,0,0,0,14,30C,e7,0,1,3
Abd,0,0,0,0,0,0,0,14,30C,e7,0,2,3
LW,38.14072169,38.14072169,0,170.7314673,0,2.232313573,56.9104891,14,30C,e7,0,2,3
Sal,0,0,0,0,0,0,0,14,30C,e7,0,2,3
Abd,0,0,0,0,0,0,0,14,30C,e7,0,3,3
LW,0,0,0,0,0,0,0,14,30C,e7,0,3,3
